x_pixel,y_pixel,rssi
348,800,-43.30842805
347,800,-43.25194807
347,800,-43.19358229
344,801,-43.13326773
346,800,-43.07093933
349,800,-43.00652984
350,800,-42.93996977
357,800,-42.87118733
360,798,-42.8001083
361,798,-42.72665602
366,798,-42.65075126
366,798,-42.5723121
368,798,-42.49125392
370,798,-42.40748925
372,798,-42.32092776
373,798,-42.2314761
383,797,-42.1390378
384,797,-42.04351312
389,797,-41.94479888
391,797,-41.84278847
401,795,-41.73737192
403,795,-41.6284358
404,795,-41.51586281
406,795,-41.39953143
407,794,-41.27931563
412,794,-41.15508495
418,795,-41.02670519
419,795,-40.89403956
420,794,-40.75694679
423,794,-40.61527892
426,794,-40.46888041
427,794,-40.31758918
430,794,-40.16123957
431,794,-39.99966711
434,792,-39.83271452
435,792,-39.66020458
438,792,-39.48193594
443,792,-39.29769239
447,791,-39.10725934
449,791,-38.9104427
453,791,-38.70708743
454,791,-38.49709375
462,791,-38.28012512
463,791,-38.0557868
465,791,-37.82374403
468,791,-37.58379489
470,789,-37.33590958
470,789,-37.08024532
474,789,-36.81714423
477,789,-36.54437609
478,789,-36.26108024
480,789,-35.96740185
488,788,-35.66420178
490,788,-35.35282709
495,788,-35.03493132
496,788,-34.71233551
500,788,-34.36223097
504,788,-33.99471343
508,786,-33.61797471
509,786,-33.23860121
511,786,-32.86182955
512,785,-32.49176516
513,785,-32.13156903
517,785,-31.56139469
520,784,-31.05457306
521,784,-30.60406494
523,784,-30.20361328
525,784,-29.84765625
526,782,-29.53125
527,782,-29.25
528,782,-27
530,782,-27
534,785,-27
535,785,-27
539,785,-27
542,785,-27
547,786,-27
548,786,-27
550,786,-28
551,786,-28
552,786,-27
554,786,-27
554,787,-28
562,789,-28
562,791,-28
565,791,-28
566,792,-28
567,792,-28
573,795,-24
574,795,-24
574,796,-23
577,796,-23
577,798,-25
580,799,-26
584,800,-27
586,802,-30
588,803,-31
589,804,-31
592,805,-31
593,805,-30
596,807,-27
600,807,-28
601,808,-27
604,808,-25
605,808,-26
611,808,-27
612,808,-27
623,809,-30
624,809,-31
631,809,-33
634,808,-34
636,808,-33
638,808,-34
642,809,-34
643,809,-34
644,809,-34
646,809,-33
647,809,-33
651,807,-33
652,807,-33
654,807,-34
655,807,-34
655,807,-33
666,807,-33
667,807,-34
673,806,-34
678,806,-33
679,806,-33
682,806,-35
685,806,-34
685,804,-34
686,804,-34
685,804,-34
686,805,-34
688,805,-35
690,805,-34
698,805,-38
700,805,-38
704,804,-36
708,804,-37
709,805,-36
712,805,-36
713,805,-38
719,804,-40
720,804,-39
721,804,-39
727,802,-38
728,801,-39
731,802,-45
732,801,-44
733,801,-44
736,799,-42
737,798,-40
739,797,-40
739,797,-41
741,794,-42
743,793,-42
744,793,-42
745,790,-37
746,784,-42
746,780,-42
746,776,-42
746,775,-42
746,774,-42
746,771,-43
746,769,-43
744,765,-43
744,764,-43
742,760,-43
742,759,-44
740,757,-45
740,757,-46
738,753,-46
736,752,-46
736,751,-46
734,751,-46
733,748,-46
733,747,-44
731,747,-44
731,745,-44
730,744,-44
729,744,-44
729,743,-41
727,743,-41
723,739,-41
722,737,-40
719,736,-37
718,735,-38
714,733,-44
713,732,-43
711,732,-40
709,731,-40
706,731,-45
705,731,-45
701,729,-42
699,729,-42
698,729,-42
697,729,-42
694,729,-42
693,729,-42
688,731,-44
686,731,-45
685,731,-44
684,731,-44
672,732,-44
670,732,-44
666,734,-44
665,734,-45
664,734,-44
657,735,-45
653,735,-39
651,735,-39
647,736,-42
644,736,-42
643,736,-40
641,736,-40
640,738,-39
635,738,-39
632,739,-39
631,739,-38
