x_pixel,y_pixel,router1_2.4,router1_5,router2_2.4,router2_5,
348,800,-45,-40,-41,-45,-40
349,800,-42,-39,-40,-50,-39
361,798,-39,-38,-42,-48,-38
372,798,-44,-37,-46,-51,-37
389,797,-42,-38,-41,-49,-38
406,795,-38,-44,-41,-50,-38
420,794,-38,-39,-41,-48,-38
430,794,-36,-39,-45,-49,-36
443,792,-38,-37,-48,-49,-37
454,791,-39,-38,-50,-53,-38
470,789,-35,-31,-44,-54,-31
478,789,-40,-31,-44,-48,-31
496,788,-34,-25,-43,-56,-25
511,786,-35,-23,-45,-51,-23
520,784,-40,-35,-46,-53,-35
527,782,-30,-20,-47,-52,-20
535,785,-27,-18,-51,-47,-18
550,786,-24,-14,-48,-45,-14
562,789,-22,-13,-42,-52,-13
567,792,-22,-11,-44,-47,-11
577,798,-16,-13,-46,-50,-13
588,803,-20,-16,-50,-50,-16
600,807,-19,-24,-53,-47,-19
612,808,-20,-21,-55,-51,-20
634,808,-22,-23,-45,-53,-22
644,809,-26,-23,-45,-52,-23
652,807,-24,-25,-53,-45,-24
667,807,-27,-24,-44,-53,-24
682,806,-32,-27,-49,-47,-27
686,805,-31,-24,-45,-47,-24
704,804,-28,-24,-41,-52,-24
713,805,-38,-27,-46,-51,-27
728,801,-30,-30,-44,-48,-30
736,799,-34,-27,-46,-49,-27
743,793,-35,-30,-57,-48,-30
746,776,-41,-30,-49,-51,-30
746,769,-34,-33,-50,-43,-33
740,757,-34,-33,-40,-42,-33
735,750,-37,-31,-38,-48,-31
729,744,-28,-29,-41,-45,-28
720,737,-28,-21,-47,-44,-21
710,732,-37,-18,-43,-44,-18
700,730,-32,-21,-46,-45,-21
688,730,-32,-20,-45,-48,-20
669,734,-28,-17,-43,-48,-17
651,735,-19,-19,-42,-45,-19
639,738,-25,-21,-48,-42,-21
628,739,-25,-23,-49,-45,-23
619,741,-25,-31,-49,-39,-25
608,743,-27,-24,-42,-42,-24
593,745,-18,-18,-39,-45,-18
581,747,-18,-25,-43,-41,-18
568,749,-20,-18,-49,-44,-18
560,751,-22,-25,-53,-43,-22
552,752,-22,-28,-46,-45,-22
537,753,-20,-35,-48,-40,-20
520,753,-23,-32,-48,-42,-23
506,753,-30,-38,-46,-41,-30
493,752,-31,-35,-52,-45,-31
476,752,-41,-34,-52,-46,-34
451,752,-39,-35,-51,-45,-35
434,753,-40,-39,-53,-40,-39
425,753,-38,-36,-46,-44,-36
406,754,-39,-35,-46,-42,-35
380,753,-47,-34,-45,-41,-34
354,753,-37,-36,-42,-39,-36
337,755,-37,-39,-52,-38,-37
317,754,-38,-43,-44,-39,-38
308,754,-33,-44,-56,-40,-33
283,750,-41,-44,-48,-43,-41
260,737,-35,-41,-42,-39,-35
280,714,-39,-44,-45,-43,-39
294,708,-49,-37,-44,-40,-37
312,705,-43,-36,-49,-47,-36
332,702,-40,-35,-44,-41,-35
348,699,-40,-35,-46,-43,-35
357,697,-45,-37,-40,-45,-37
367,695,-44,-34,-42,-46,-34
379,692,-41,-35,-47,-47,-35
386,689,-33,-33,-43,-49,-33
397,686,-34,-36,-40,-46,-34
409,681,-41,-31,-43,-50,-31
418,675,-44,-31,-44,-51,-31
422,672,-35,-39,-41,-51,-35
430,667,-38,-37,-43,-49,-37
444,658,-38,-37,-41,-46,-37
458,651,-37,-38,-53,-47,-37
467,647,-33,-37,-39,-51,-33
476,643,-36,-39,-43,-49,-36
489,638,-39,-36,-40,-47,-36
506,633,-34,-40,-41,-46,-34
519,630,-28,-41,-42,-50,-28
528,629,-38,-42,-43,-49,-38
538,627,-35,-36,-47,-53,-35
547,626,-38,-41,-47,-51,-38
557,626,-37,-39,-46,-51,-37
568,624,-36,-37,-45,-51,-36
575,625,-38,-37,-48,-49,-37
584,625,-46,-35,-46,-53,-35
594,625,-37,-38,-57,-52,-37
602,627,-40,-41,-52,-48,-40
608,628,-39,-38,-44,-50,-38
620,627,-39,-40,-48,-50,-39
644,626,-41,-40,-56,-51,-40
651,624,-40,-36,-44,-52,-36
658,623,-41,-40,-48,-52,-40
667,623,-48,-41,-49,-52,-41
683,622,-42,-38,-43,-51,-38
690,622,-43,-41,-48,-49,-41
693,622,-47,-41,-55,-52,-41
690,602,-43,-38,-53,-58,-38
688,584,-45,-37,-47,-51,-37
683,554,-41,-48,-53,-55,-41
682,521,-40,-46,-54,-50,-40
676,506,-44,-37,-48,-58,-37
665,490,-41,-39,-53,-55,-39
652,480,-46,-40,-51,-58,-40
631,467,-43,-40,-47,-53,-40
